number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.8851525952327912,2026-07-22 16:44:39.335254,2026-07-22 16:44:39.745561,0 days 00:00:00.410307,0.6232334448672797,0.17254716573280354,8,19,3.540362888980227,362,98,0.6245760287469887,0.003899318902679121,1.0102790857065356,0.662397808134481,COMPLETE
1,0.884566718645578,2026-07-22 16:44:39.746485,2026-07-22 16:44:40.497272,0 days 00:00:00.750787,0.8099025726528951,0.12106896936002161,4,22,3.0592644736118975,779,39,7.71800699380605e-05,5.113649633234538e-06,1.0696577398780336,0.721696897183815,COMPLETE
2,0.8863599910893294,2026-07-22 16:44:40.497659,2026-07-22 16:44:42.804228,0 days 00:00:02.306569,0.836965827544817,0.029967309097101588,10,24,0.8526206184364576,304,67,2.6185068507773707e-08,0.004474998470820658,1.0324842034024957,0.8056937753654446,COMPLETE
3,0.871655157050568,2026-07-22 16:44:42.804631,2026-07-22 16:44:44.495391,0 days 00:00:01.690760,0.7760609974958405,0.18043311207136262,6,14,0.17194260557609198,765,107,1.254134495897175e-07,0.0004033251408150122,1.454078794132691,0.8736932106048627,COMPLETE
4,0.8917308977500558,2026-07-22 16:44:44.495764,2026-07-22 16:44:44.816518,0 days 00:00:00.320754,0.9878338511058234,0.07277150634170934,8,57,4.474136752138244,281,51,0.0946663015372686,5.47403835906837,1.2985677004165328,0.6739417822102108,COMPLETE
5,0.8944753842726665,2026-07-22 16:44:44.816876,2026-07-22 16:44:45.916229,0 days 00:00:01.099353,0.7085396127095583,0.01303561122512888,3,36,1.4046725484369038,746,38,0.287499823474079,2.0805271744540496e-05,1.2710010491985881,0.7554709158757927,COMPLETE
6,0.8916239697037202,2026-07-22 16:44:45.916608,2026-07-22 16:44:46.197510,0 days 00:00:00.280902,0.602208846849441,0.11058146376563001,12,79,3.6450358402049368,198,24,0.21834982897607286,0.037540612814324165,1.3851420337351172,0.6794862726136689,COMPLETE
7,0.8934929828469592,2026-07-22 16:44:46.197902,2026-07-22 16:44:46.592736,0 days 00:00:00.394834,0.6254233401144095,0.029266761285490717,11,64,3.64803089169032,151,29,6.292756043818863e-06,1.0581319604137807e-05,1.3183710902355634,0.7323592099410596,COMPLETE
8,0.888754733793718,2026-07-22 16:44:46.593103,2026-07-22 16:44:47.740470,0 days 00:00:01.147367,0.9083868719818244,0.041149615546913355,10,78,2.137705091792748,721,29,0.0002780739892288472,0.0007277022635240733,1.0126933107334644,0.8245108790277985,COMPLETE
9,0.8903319224771664,2026-07-22 16:44:47.740822,2026-07-22 16:44:48.490734,0 days 00:00:00.749912,0.69971689165955,0.010987283063579408,6,53,1.1439908274581123,175,87,4.9368087974032924e-05,0.10651329083276981,1.0384407350232017,0.9630265895704372,COMPLETE
10,0.8955970149253732,2026-07-22 16:44:48.491116,2026-07-22 16:44:49.216339,0 days 00:00:00.725223,0.7031707810405967,0.010181283131439643,3,97,4.961813327301686,550,125,0.00551754389510454,3.486350449202296e-08,1.2024886588057897,0.9630659181130072,COMPLETE
